屌丝	Loser
奥普欲霸	Obama VS Putin
反服贸	Campaign of boycotting the Cross-Strait Service Trade Agreement
占中	Occupy Central
亦余心之所善兮虽九死其犹未悔	For the ideal that I hold dear to my heart, I'd not regret a thousand times to die
入则恳恳以尽忠出则谦谦以自悔	Officials should serve as loyal as they can conscientiously when they are in office and engage in modest self-reflection when their terms end
苟利国家生死以岂因祸福避趋之	In line with the conviction that I will do whatever it takes to serve my country even at the cost of my own life, regardless of  fortune or misfortune to myself
骨肉之亲析而不殊	Brothers, though geographically apart, will always be bound by their blood ties.
如将不尽与古为新	It is only with reform that we can ensure continuous existence and growth.
行百里者半九十	Half of the people who have embarked on a one hundred mile journey may fall by the wayside.
比上不足比下有余	To fall short of the best, but be better than the worst
不遗余力	Spare no effort
谋事在人成事在天	Man proposes and god disposes
弄巧成拙	Make a fool of oneself in trying to be smart
你若安好便是晴天	If you live well, the day will be fine
冰冻三日非一日之寒	Rome is not build in one day
人是铁，饭是钢，一天不吃饿得慌	Man is iron, rice is a steel, one day does not eat hungry
问世间情为何物，直教人生死相许	Ask the world what love is, teach people together in life and death
多点真诚少点套路	More sincere and less routine
狗带	Go die
重要的事情说三遍	Important things are to be repeated for 3 times
城会玩	Urban people really know how to have fun
你们城里人真会玩	Urban people really know how to have fun
歪果仁	Foreigner
明明可以靠脸吃饭，非要靠才华	One could live off one's appearance, but instead lives off one's talent
能靠长相吃饭，却偏偏要靠才华	One could live off one's appearance, but instead lives off one's talent
主要看气质	Mainly lies in temperament
什么鬼	What's that
小公举	Little princess
吓死宝宝了	I'm scared to death
吃瓜群众	The people who are unaware of the truth
葛优躺	Ge You-esque lying
带我装逼带我飞	Take me play, take me fly
老司机带带我	The old driver led me
也是蛮拼的	Works so hard
爱豆	Idol
怪我喽	Blame me
然并卵	However, it doesn't make any difference
我也是醉了	Are you kidding me
我的内心几乎是崩溃的	My heart is almost broken
伐木累	Family
壁咚	Wall thump
韩国欧巴	South Korea Oba
神马都是浮云	Everything is nothing
君子一言驷马难追	A word can never be withdrawn
生于忧患死于安乐	Survive in disasters, perish in comfort
爱屋及乌	Love me, love my dog
眼见为实	Seeing is believing
比上不足比下有余	Worse off than some, better off than many
笨鸟先飞	A slow sparrow should make an early start
不眠之夜	White night
不以物喜不以己悲	Not pleased by external gains, not saddened by personal losses
不打不成交	No discord, no concord
拆东墙补西墙	Rob Peter to pay Paul
辞旧迎新	Bid farewell to the old and usher in the new
大事化小小事化了	Try first to make their mistake sound less serious and then to reduce it to nothing at all
大开眼界	Open one's eyes
国泰民安	The country flourishes and people live in peace
过犹不及	Going too far is as bad as not going far enough
功夫不负有心人	Everything comes to him who waits
好了伤疤忘了疼	Once on shore, one prays no more
好事不出门恶事传千里	Good news never goes beyond the gate, while bad news spread far and wide
和气生财	Harmony brings wealth
活到老学到老	One is never too old to learn
既往不咎	Let bygones be bygones
金无足赤人无完人	Gold can't be pure and man can't be perfect
金玉满堂	Treasures fill the home
脚踏实地	Be down-to-earth
脚踩两只船	Sit on the fence
君子之交淡如水	The friendship between gentlemen is as pure as crystal
礼尚往来	Courtesy calls for reciprocity
留得青山在不怕没柴烧	Where there is life, there is hope
马到成功	Achieve immediate victory
名利双收	Gain in both fame and wealth
茅塞顿开	Be suddenly enlightened
没有规矩不成方圆	Nothing can be accomplished without norms or standards
每逢佳节倍思亲	On festive occasions more than ever one thinks of one's dear ones far away
谋事在人成事在天	The planning lies with man, the outcome with Heaven
弄巧成拙	Be too smart by half
拿手好戏	Masterpiece
赔了夫人又折兵	Throw good money after bad
抛砖引玉	A modest spur to induce others to come forward with valuable contributions
破釜沉舟	Cut off all means of retreat
抢得先机	Take the preemptive opportunities
巧妇难为无米之炊	One can't make bricks without straw
千里之行始于足下	The highest eminence is to be gained step by step
前事不忘后事之师	Past experience, if not forgotten, is a guide for the future
前人栽树后人乘凉	One sows and another reaps
前怕狼后怕虎	Fear the wolf in front and the tiger behind hesitate in doing something
强龙难压地头蛇	Powerful outsiders can hardly afford to neglect local bullies
强强联手	Win-win co-operation
瑞雪兆丰年	A timely snow promises a good harvest
人之初性本善	Man's nature at birth is good
人逢喜事精神爽	Joy puts heart into a man
人海战术	Huge-crowd strategy
世上无难事只要肯攀登	Where there is a will, there is a way
世外桃源	A fictitious land of peace away from the turmoil of the world
死而后已	Until my heart stops beating
岁岁平安	Peace all year round
上有天堂下有苏杭	Just as there is paradise in heaven, there are Suzhou and Hangzhou on earth
塞翁失马焉知非福	Misfortune may be an actual blessing
三十而立	A man should be independent at the age of thirty
升级换代	Updating and upgrading of products
四十不惑	Life begins at forty
谁言寸草心报得三春晖	Such kindness of warm sun, can't be repaid by grass
水涨船高	When the river rises, the boat floats high
时不我待	Time and tide wait for no man
杀鸡用牛刀	Break a butterfly on the wheel
实事求是	Seek truth from facts
说曹操曹操到	Talk of the devil and he comes
实话实说	Speak the plain truth
实践是检验真理的唯一标准	Practice is the sole criterion for testing truth
山不在高有仙则名	No matter how high the mountain is, its name will spread far and wide if there is a fairy
韬光养晦	Hide one's capacities and bide one's time
糖衣炮弹	Sugar-coated bullets
天有不测风云	Anything unexpected may happen
团结就是力量	Unity is strength
跳进黄河洗不清	There's nothing one can do to clear one's name
歪风邪气	Unhealthy practices and evil phenomena
物以类聚人以群分	Birds of a feather flock together
往事如风	The past is like the wind
望子成龙	Hope one's children will have a bright future
屋漏又逢连阴雨	Misfortunes never come singly
左右为难	Between the devil and the deep blue sea
唯利是图	Draw water to one's mill
无源之水无本之木	Water without a source, and a tree without roots
无中生有	Create something out of nothing
无风不起浪	There are no waves without wind
徇私枉法	Bend the law for the benefit of relatives or friends
新官上任三把火	A new broom sweeps clean
虚心使人进步骄傲使人落后	Modesty helps one go forward, whereas conceit makes one lag behind
蓄势而发	Accumulate strength for a take-off
心想事成	May all your wish come true
心照不宣	Have a tacit understanding
先入为主	First impressions are firmly entrenched
先下手为强	Catch the ball before the bound
像热锅上的蚂蚁	Like an ant on a hot pan
现身说法	Warn people by taking oneself as an example
息事宁人	Pour oil on troubled waters
喜忧参半	Mingled hope and fear
循序渐进	Step by step
纸包不住火	Truth will come to light sooner or later
严以律己宽以待人	Be strict with oneself and lenient towards others
纸上谈兵	Be an armchair strategist
有情人终成眷属	Jack shall have Jill, all shall be well
有钱能使鬼推磨	Money talks
有识之士	People of vision
有勇无谋	Use brawn rather than brain
有缘千里来相会	Separated as we are thousands of miles apart, we come together as if by predestination
与时俱进	Advance with times
以人为本	People oriented
因材施教	Teach students according to their aptitude
欲穷千里目更上一层楼	To ascend another storey to see a thousand miles further
欲速则不达	Haste does not bring success
优胜劣汰	Survival of the fittest
英雄所见略同	Great minds think alike
冤家宜解不宜结	Better make friends than make enemies
冤假错案	Cases in which people were unjustly, falsely or wrongly charged or sentenced
一言既出驷马难追	A real man never goes back on his words
招财进宝	Money and treasures will be plentiful
债台高筑	Become debt-ridden
致命要害	Achilles' heel
众矢之的	Target of public criticism
知己知彼百战不殆	Know the enemy and know yourself, and you can fight a hundred battles with no danger of defeat
天生我才必有用	All things in their being are good for something
困难坎坷是人们的生活教科书	Difficult circumstances serve as a textbook of life for people
失败乃成功之母	Failure is the mother of success
人就是人是自己命运的主人	For man is man and master of his fate
混混噩噩的生活不值得过	The unexamined life is not worth living
只有每天再度战胜生活并夺取自由的人才配享受生活的自由	None is of freedom or of life deserving unless he daily conquers it anew
命运给予我们的不是失望之酒而是机会之杯	Our destiny offers not the cup of despair, but the chalice of opportunity
因此让我们毫无畏惧满心愉悦地把握命运	So let us seize it, not in fear, but in gladness
生活没有目标犹如航海没有罗盘	Living without an aim is like sailing without a compass
没有了目的生活便郁闷无光	What makes life dreary is the want of motive
卓越的天才不屑走旁人走过的路他寻找迄今未开拓的地区	Towering genius disdains a beaten path. It seeks regions hitherto unexplored
没有伟大的意志力便没有雄才大略	There is no such thing as a great talent without great will - power
惊涛骇浪方显英雄本色	The good seaman is known in bad weather
不要害怕你的生活将要结束应该担心你的生活永远不会真正开始	Fear not that the life shall come to an end, but rather fear that it shall never have a beginning
人生的奋斗目标决定你将成为怎样的人	Gods determine what you're going to be
生活的目标是唯一值得寻找的财富	An aim in life is the only fortune worth finding
一息若存希望不灭	While there is life there is hope
不要为成功而努力要为做一个有价值的人而努力	Try not to become a man of success but rather try to become a man of value
人必须有自信这是成功的秘密	You have to believe in yourself. That's the secret of success
不管追求什么目标都应坚持不懈	Pursue your object, be it what it will, steadily and indefatigably
我们必须接受失望因为它是有限的但千万不可失去希望因为它是无穷的	We must accept finite disappointment, but we must never lose infinite hope
能量加毅力可以征服一切	Energy and persistence conquer all things
无所求则无所获	Nothing seek, nothing find
生命不止奋斗不息	Cease to struggle and you cease to live
只有强者才懂得斗争弱者甚至失败都不够资格而是生来就是被征服的	Strength alone knows conflict, weakness is below even defeat, and is born vanquished
在这个世界上取得成就的人都努力去寻找他们想要的机会如果找不到机会他们便自己创造机会	The people who get on in this world are the people who get up and look for circumstances they want, and if they cannot find them, make them
强者能同命运的风暴抗争	A strong man will struggle with the storms of fate
谁把握机遇谁就心想事成	He who seize the right moment, is the right man
胜利是不会向我们走来的我必须自己走向胜利	Victory won't come to me unless I go to it
人往高处走水往低处流	Man struggles upwards; water flows downwards
失误是进取的代价	Man errs as long as he strives
尽管失败和挫折等待着人们一次次地夺走青春的容颜但却给人生的前景增添了一份尊严这是任何顺利的成功都不能做到的	The failures and reverses which await men -- and one after another sadden the brow of youth -- add a dignity to the prospect of human life, which no Arcadian success would do
一个人可以失败很多次但是只要他没有开始责怪旁人他还不是一个失败者	A man can fail many times, but he isn't a failure until he begins to blame somebody else
吃一堑长一智	A fall into the pit, a gain in your wit
一日一个苹果身体健康不求医	An apple a day keeps the doctor away
少壮不努力老大徒伤悲	A young idler, an old beggar
习惯成自然	Custom makes all things easy
人的欲望无止境	Desire has no rest
贪多嚼不烂	Do not have too many irons in the fire
别把所有的蛋都放在一个篮子里	Do not pull all your eggs in one basket
不要孤注一掷	Do not pull all your eggs in one basket
实践出真知	Experience is the best teacher
不在屋里不知漏雨	If you are not inside a house, you don not know about its leaking
亲身经历才有体会	If you are not inside a house, you don not know about its leaking
熟能生巧	Practice makes perfect
人心各不同	So many men, so many minds
时间检验一切	Time tries all things
青春只有一次	You are only young once
没有付出就没有获得	No pain, no gain
事实胜于雄辩	Actions speak louder than words
知识就是力量	Knowledge is power
晚做总比不做强	Better late than never
良药苦口	Better pills may have wholesome effects
来得容易去得容易	Easy come,easy go
三思而后行	Look before you leap
好的开始是成功的一半	Well begin is half done
雄辩是银缄默是金	Speech is silver,silence is gold
天下没有不散的宴席	All good things come to an end
智者千虑必有一失	Even Homer sometimes nods
世上无难事只怕有心人	It's dogged that does it
条条大路通罗马	All roads lead to Rome
机不可失失不再来	Opportunity seldom knocks twice
木已成舟	What's done can not be undone
居安思危	In prosperity think of adversity
骄者必败	Pride will have a fall
言行一致	Practise what you preach
人孰无过	Every man has his faults
孤掌难鸣	You cannot clap with one hand
无劳不获	No pain,no gain
有志者事竟成	Where there is a will,there is a way
百闻不如一见	Seeing is believing
进退维谷	I am caught between the devil and the deep blue sea
五湖四海	All corners of the land
五彩缤纷	Blazing with colour
一览无余	Take in everything at a glance
日以继夜	Round the clock
理直气壮	Justly and forcefully
大雨滂沱	It rains cats and dogs
隔墙有耳	Walls have ears
一心一意	Heart and soul
入乡随俗	Do in Rome as the Romans do
不善始者不善终	A bad beginning makes a bad ending
遗臭万年	A bad thing never dies
不会撑船怪河弯	A bad workman always blames his tools
一鸟在手胜过双鸟在林	A bird in the hand is worth than two in the bush
吹牛与说谎本是同宗	A boaster and a liar are cousins-german
色厉内荏	A bully is always a coward
爱挑的担子不嫌重	A burden of one's choice is not felt
蜡烛照亮别人却毁灭了自己	A candle lights others and consumes itself
猫有九条命	A cat has 9 lives
人人平等	A cat may look at a king
病从口入	A close mouth catches no flies
常客令人厌	A constant guest is never welcome
穷则思变	Adversity leads to prosperity
逆境出人才	Adversity makes a man wise, not rich
死得其所流芳百世	A fair death honors the whole life
知音难觅	A faithful friend is hard to find
江山易改本性难移	A fox may grow gray, but never good
患难见真情	A friend in need is a friend indeed
得朋友难失朋友易	A friend is easier lost than found
需要之时方知友	A friend is never known till a man has need
没有十全十美的朋友	A friend without faults will never be found
“您先请”是礼貌	"After you" is good manners
良好的开端是成功的一半	A good beginning is half done
善始者善终	A good beginning makes a good ending
好书如挚友	A good book is a good friend
一本好书相伴一生	A good book is the best of friends, the same today and forever
不做亏心事不怕鬼叫门	A good conscience is a soft pillow
美名胜过美貌	A good fame is better than a good face
夫善则妻贤	A good husband makes a good wife
妻贤身体好是男人最大的财富	A good wife health is a man's best wealth
说大话者多谎言	A great talker is a great liar
戏谑不能化敌为友只能使人失去朋友	A joke never gains an enemy but loses a friend
积习难改	A leopard cannot change its spots
说谎者即使讲真话也没人相信	A liar is not believed when he speaks the truth
静以修身	A light heart lives long
浓缩的都是精品	A little body often harbors a great soul
一知半解自欺欺人	A little knowledge is a dangerous thing
狗肚子盛不得四两油	A little pot is soon hot
敌人逃窜时人人都成了勇士	All are brave when the enemy flies
海纳百川	All rivers run into sea
结果好就一切都好	All that ends well is well
闪光的不一定都是金子	All that glitters is not gold
凡事总是由难而易	All things are difficult before they are easy
只会用功不玩耍聪明孩子也变傻	All work and no play makes Jack a dull boy
不耻下问才能有学问	A man becomes learned by asking questions
凡事都应量力而行	A man can do no more than he can
一心不能二用	A man cannot spin and reel at the same time
什么人交什么朋友	A man is known by his friends
光说空话不做事犹如花园光长刺	A man of words and not of deeds is like a garden full of weeds
一分钱难倒英雄汉	A man without money is no man at all
心旷神怡事事顺利	A merry heart goes all the way
失之毫厘差之千里	A miss is as good as a mile
母爱永恒	A mother's love never changes
一天一苹果不用请医生	An apple a day keeps the doctor away
以眼还眼以牙还牙	An eye for an eye and a tooth for a tooth
一日之计在于晨	An hour in the morning is worth two in the evening
老狗学不出新把戏	An old dog cannot learn new tricks
聪明才智不如运气	An ounce of luck is better than a pound of wisdom
预防为主治疗为辅	An ounce of prevention is worth a pound of cure
滚石不生苔转业不聚财	A rolling stone gathers no moss
种瓜得瓜种豆得豆	As a man sows, so he shall reap
一花独放不是春百花齐放春满园	A single flower does not make a spring
健全的精神寓于健康的身体	A sound mind in a sound body
寡言者智	A still tongue makes a wise head
小洞不补大洞吃苦	A stitch in time saves nine
身正不怕影子斜	A straight foot is not afraid of a crooked shoe
真人不露相露相非真人	A wise head makes a close mouth
一年之计在于春	A year's plan starts with spring
好事不出门坏事传千里	Bad news has wings
吠犬不咬人	Barking dogs seldom bite
情人眼里出西施	Beauty lies in the love's eyes
听宜敏捷言宜缓行	Be swift to hear, slow to speak
问路总比迷路好	Better to ask the way than go astray
朋友之间不分彼此	Between friends all is common
血浓于水	Blood is thicker than water
血债血偿	Blood will have blood
读书如交友应求少而精	Books and friends should be few but good
公事公办	Business is business
事业是人生的第一需要	Business is the salt of life
读书使人充实交谈使人精明	By reading we enrich the mind, by conversation we polish it
一叶障目不见泰山	Cannot see the wood for the trees
谨慎和勤奋才能抓住机遇	Care and diligence bring luck
小心驶得万年船	Caution is the parent of safety
骗人发不了财	Cheats never prosper
耳濡目染身教言传	Children are what the mothers are
择书如择友	Choose an author as you choose a friend
做你的吧天塌不下来	Come what may, heaven won't fall
学习的敌人是自己的满足	Complacency is the enemy of study
自信是走向成功的第一步	Confidence in yourself is the first step on the road to success
水滴石穿绳锯木断	Constant dripping wears away a stone
知足者常乐	Content is better than riches
蛋未孵先数雏	Count one's chickens before they are hatched
来而不往非礼也	Courtesy on one side only lasts not long
海底捞月	Cry for the moon
习惯是后天养成的	Custom is a second nature
有个好习惯事事皆不难	Custom makes all things easy
强中自有强中手	Diamond cuts diamond
己所不欲勿施于人	Do as you would be done by
与其挂在嘴上不如落实在行动上	Doing is better than saying
机不可失时不再来	Do it now
凡事不可半途而废	Do nothing by halves
不要不懂装懂	Don't claim to know what you don't know
不要揽事过多	Don't have too many irons in the fire
不要小题大做	Don't make a mountain out of a molehill
今日事今日毕	Don't put off till tomorrow what should be done today
不要本末倒置	Don't put the cart before the horse
不要自找麻烦	Don't trouble trouble until trouble troubles you
不要班门弄斧	Don't try to teach your grandmother to suck eggs
孤芳自赏	Each bird love to hear himself sing
早睡早起身体好	Early to bed and early to rise makes a man healthy, wealthy and wise
说得容易做得难	Easier said than done
来也匆匆去也匆匆	Easy come, easy go
人吃饭是为了活着但活着不是为了吃饭	Eat to live, but not live to eat
实磨无声空磨响满瓶不动半瓶摇	Empty vessels make the greatest sound
忌妒之人无宁日	Envy has no holidays
亲兄弟明算账	Even reckoning makes long friends
有利必有弊	Every advantage has its disadvantage
人人负责等于没人负责	Everybody's business is nobody's business
好景不常在	Every day is not Sunday
谁都有得意的时候	Every dog has his day
人生在世唯死难逃	Every door may be shut, but death's door
各人有各人的苦恼	Every heart has its own sorrow
聚沙成塔集腋成裘	Every little helps a mickle
人不为己天诛地灭	Every man for himself, and the devil takes the hindmost
萝卜青菜各有所爱	Every man has his hobbyhorse
人人都有弱点	Every man has his weak side
自己的命运自己掌握	Every man is the architect of his own fortune
分秒必争	Every minute counts
孩子是自己的好	Every mother's child is handsome
王婆卖瓜自卖自夸	Every potter praises hit pot
东西是新的好朋友是老的亲	Everything is good when new, but friends when old
说一遍不如做一遍	Example is better then percept
经验是智慧之父记忆是智慧之母	Experience is the father of wisdom and memory the mother
失败是成功之母	Failure is the mother of success
明枪易躲暗箭难防	False friends are worse than bitter enemies
眼不见心不烦	Far from eye, far from heart
远水救不了近火	Far water does not put out near fire
一朝情意淡样样不顺眼	Faults are thick where love is thin
恐惧源于无知	Fear always springs from ignorance
水火无情	Fire and water have no mercy
火是一把双刃剑	Fire is a good servant but a bad master
先来后到	First come, first served
初次见面印象最深	First impressions are half the battle
先想后说	First think and then speak
朽木不可雕	Fools grow without watering
呆人有呆福	Fools has fortune
愚者不学无术智者不耻下问	Fools learn nothing from wise men, but wise men learn much from fools
禁果格外香	Forbidden fruit is sweet
机遇偏爱善断之人	Fortune favors those who use their judgement
风水轮流转	Fortune knocks once at least at every man's gate
集思广益	Four eyes see more than two
朋友之间也会保持距离	Friends agree best at distance
朋友是时间的窃贼	Friends are thieves of time
再好的朋友也有分手的时候	Friends must part
天才不过是勤奋而已	Genius is nothing but labor and diligence
众口铄金积毁销骨	Give a dog a bad name and hang him
自助者天助	God helps those who help themselves
黄金并非万能	Gold will not buy anything
以德报德是常理以德报怨大丈夫	Good for good is natural, good for evil is manly
健康是最大的财富	Good health is over wealth
良药苦口利于病	Good medicine for health tastes bitter to the mouth
谨慎消灾	Good watch prevents misfortune
好狗不挡道	Great barkers are no biters
伟大的抱负造就伟大的人物	Great hopes make great man
英雄犯大错误	Great men have great faults
富不过三代	Great men's sons seldom do well
大树底下好乘凉	Great trees are good for nothing but shade
贵人多忘事	Great wits have short memories
心贪手长	Greedy folks have long arms
做贼心虚	Guilty consciences make men cowards
心病还需心药医	Habit cures habit
行为漂亮才算美	Handsome is he who does handsomely
欢乐不觉时光过	Happiness takes no account of time
要想活得痛快身上不能背债	Happy is he who owes nothing
吸取他人教训自己才会走运	Happy is the man who learns from the misfortunes of others
害人害己	Harm set, harm get
一见钟情难维久	Hasty love, soon cold
健康胜过财富	Health is better than wealth
健康就是幸福	Health is happiness
兼听则明	Hear all parties
自己不动叫天何用	Heaven never helps the man who will not act
愚者忘乎所以	He is a fool that forgets himself
背后说好话才是真朋友	He is a good friend that speaks well of us behind our backs
聪明不是挂在嘴上	He is a wise man who speaks little
只有死人才不犯错误	He is lifeless that is faultless
正人先正己	He is not fit to command others that cannot command himself
只要目的正当可以不择手段	The end justifies the means
死亡面前人人平等	The end makes all equal
抄近路反而绕远路搜索	The farthest way about is the nearest way home
玉不琢不成器	The finest diamond must be cut
烈火验真金艰难磨意志	The fire is the test of gold, adversity of strong man
迈出第一步是最艰难的	The first step is the only difficulty
机关算尽太聪明反误了卿卿性命	The fox knew too much, that's how he lost his tail
兔子不吃窝边草	The fox preys farthest from home
坐井观天	The frog in the well knows nothing of the great ocean
这山望着那山高	The grass is greener on the other side
语言的巨人总是行动的矮子	The greatest talkers are always least doers
爬得高摔得惨	The higher up, the greater the fall
本性难移	The leopard cannot change its spots
人越高尚越谦虚	The more noble, the more humble
初生牛犊不怕虎	The more wit, the less courage
旁观者清	The outsider sees the most of the game
笔能杀人	The pen is mightier than the sword
五十步笑百步	The pot calls the kettle black
太阳也有黑点	There are spots in the sun
问题皆有两面	There are two sides to every question
家家有本难念的经	There is a skeleton in the cupboard
人间处处有温情	There is kindness to be found everywhere
任何法规均有例外	There is no general rule without some exception
没有长生不老药	There is no medicine against death
金窝银窝不如咱的狗窝	There is no place like home
书山有路勤为径学海无涯苦作舟	There is no royal road to learning
字如其人	The style is the man
人言可畏	The tongue is not steel, yet it cuts
水能载舟亦能覆舟	The water that bears the boat is the same that swallows it up
清者自清浊者自浊	The wise man knows he knows nothing, the fool thinks he knows all
螳螂捕蝉黄雀在后	The wolf has a winning game when the shepherds quarrel
世界如阶梯有人上有人下	The world is a ladder for some to go up and others to go down
海内存知己天涯若比邻	The world is but a little place, after all
否极泰来	Things at the worst will mend
时间是医治一切创伤的良药	Time cures all things
光阴似箭	Time flies
时间就是金钱	Time is money
时光流逝不可复得	Time lost cannot be won again
时间不能倒流	Time past cannot be called back again
路遥知马力日久见人心	Time tries all
人不犯我我不犯人人若犯我我必犯人	Tit for tat is fair play
人非圣贤孰能无过	To err is human
什么都知道一如什么都不知道	To know everything is to know nothing
人贵有自知之明	To know oneself is true progress
我生待明日万事成蹉跎	Tomorrow never comes
过分熟悉会使人互不服气	Too much familiarity breeds contempt
学问太多催人老	Too much knowledge makes the head bald
自由放任一事无成	Too much liberty spills all
过多夸奖反成负担	Too much praise is a burden
节约时间就是延长生命	To save time is to lengthen life
常在河边走哪有不湿鞋	Touch pitch, and you will be defiled
福无双至祸不单行	Troubles never come singly
真理永存	Truth never grows old
洗心革面改过自新	Turn over a new leaf
鹬蚌相争渔翁得利	Two dogs strive for a bone, and a third runs away with it
一个好汉三个帮	Two heads are better than one
同行是冤家	Two of a trade seldom agree
别人错了不等于你对了	Two wrongs do not make a right
忠言逆耳利于行	Unpleasant advice is a good medicine
不到黄河心不死	Until all is over one's ambition never dies
吃小亏占大便宜	Venture a small fish to catch a great one
美德远远胜过美貌	Virtue is fairer far than beauty
家丑不可外扬	Wash your dirty linen at home
滴水穿石	Water dropping day by day wears the hardest rock away
失去健康钱再多也没用	Wealth is nothing without health
好东西失去了才明白	We know not what is good until we have lost it
井干方知水可贵	We never know the worth of water till the well is dry
欲求完美无缺的朋友必然成为孤家寡人	We shall never have friends if we expect to find them without fault
自己的好事别去提别人的恩惠要铭记	We should never remember the benefits we have offered nor forget the favor received
乳臭未干	Wet behind the ears
不管做什么都要一心一意	Whatever you do, do with all your might
儿时所学终生难忘	What is learned in the cradle is carried to the grave
生米煮成熟饭了	What's done cannot be undone
失者不可复得	What's lost is lost
愿者不难	What we do willingly is easy
入国问禁入乡随俗	When in Rome, do as the Romans do
人人都伟大世间没豪杰	When everybody's somebody then nobody's anybody
伤心旧事别重提	When sorrow is asleep, wake it not
新仇旧恨齐上心头	When sorrows come, they come not single spies, but in battalions
黄鼠狼给鸡拜年没安好心	When the fox preaches, take care of your geese
酒后吐真言	When wine is in truth, wit is out
事出有因	Where there is smoke, there is fire
道高一尺魔高一丈	While the priest climbs a post, the devil climbs ten
搬弄口舌者必是小人	Who chatters to you, will chatter of you
好人不长命	Whom the gods love die young
智者嘴在心里愚者心在嘴里	Wise man have their mouths in their hearts, fools have their hearts in their mouths
勤工出巧匠	Work makes the workman
蜡烛不能两头点精力不可过分耗	You cannot burn the candle at both ends
鱼与熊掌不可得兼	You cannot eat your cake and have it
强扭的瓜不甜	You can take a horse to the water but you cannot make him drink
由一斑可知全貌	You may know by a handful the whole sack
是驴子是马拉出来遛遛	You never know what you can till you try
不要放弃你的幻想当幻想没有了以后你还可以生存但是你虽生犹死	Don't part with your illusions. When they are gone you may still exist, but you have ceased to live
我想揭示大自然的秘密用来造福人类	I want to bring out the secrets of nature and apply them for the happiness of man
我认为在我们的短暂一生中最好的贡献莫过于此了	I don't know of any better service to offer for the short time we are in the world
